n,a_n
1464,1436
1465,-424
1466,-171
1467,-1431
1468,1468
1469,-1130
1470,1218
1471,-1184
1472,-549
1473,-1036
1474,981
1475,1084
1476,-224
1477,1197
1478,-81
1479,935
1480,-1375
1481,1262
1482,-1177
1483,-1321
1484,-1482
1485,1100
1486,640
1487,-1148
1488,1441
1489,1244
1490,-102
1491,-1482
1492,1105
1493,-1110
1494,1270
1495,1072
1496,-985
1497,1489
1498,-168
1499,1495
1500,-578
1501,83
1502,1456
1503,-1491
1504,-1431
1505,1505
1506,-268
1507,1237
1508,-1066
1509,1269
1510,-301
1511,847
1512,-1423
1513,-216
1514,-1056
1515,-621
1516,1306
1517,-1188
1518,-695
1519,986
1520,-672
1521,454
1522,1521
1523,692
1524,1147
1525,-480
1526,-942
1527,705
1528,1467
1529,186
1530,-923
1531,903
1532,-1499
1533,679
1534,623
1535,1264
1536,1356
1537,-1412
1538,1522
1539,1532
1540,-1369
1541,1036
1542,-1020
1543,-1314
1544,-1120
1545,-1544
1546,1540
1547,901
1548,919
1549,1544
1550,-1543
1551,711
1552,1308
1553,1384
1554,1541
1555,1553
1556,1354
1557,39
1558,1503
1559,1511
1560,163
1561,-551
1562,1467
1563,190
1564,1561
1565,566
1566,772
1567,-1156
1568,170
1569,547
1570,561
1571,1531
1572,-1360
1573,-482
1574,1531
1575,-1363
1576,691
1577,-233
1578,-784
1579,1557
1580,-1488
1581,1421
1582,1334
1583,1461
1584,-254
1585,-719
1586,-656
1587,-889
1588,-115
1589,-1503
1590,-1538
1591,1563
1592,-1589
1593,962
1594,996
1595,-186
1596,959
1597,-1163
1598,-913
1599,-1493
1600,1081
1601,465
1602,75
1603,-618
1604,-1252
1605,-1600
1606,1285
1607,-145
1608,-749
1609,-1549
1610,309
1611,1455
1612,-693
1613,-1551
1614,1312
1615,-1495
1616,630
1617,1607
1618,-1613
1619,1584
1620,967
1621,-926
1622,-1131
1623,-40
1624,-1212
1625,993
1626,416
1627,1573
1628,1311
1629,-1332
1630,61
1631,-1576
1632,1441
1633,1365
1634,1634
1635,597
1636,163
1637,-578
1638,90
1639,1464
1640,33
1641,1641
1642,1457
1643,-1054
1644,1644
1645,-1337
1646,1595
1647,-1317
1648,1025
1649,1231
1650,-794
1651,-1212
1652,1009
1653,-864
1654,100
1655,-835
1656,1023
1657,-1517
1658,-632
1659,851
1660,600
1661,71
1662,1580
1663,362
1664,-1095
1665,-1645
1666,1551
1667,-1350
1668,1293
1669,-1622
1670,-1344
1671,949
1672,399
1673,-32
1674,-920
1675,-786
1676,-946
1677,621
1678,-1441
1679,-1406
1680,1665
1681,-70
1682,-1299
1683,1681
1684,-416
1685,-1627
1686,574
1687,1332
1688,-56
1689,884
1690,-1583
1691,603
1692,-309
1693,-1525
1694,1644
1695,-1377
1696,-1409
1697,-1696
1698,757
1699,207
1700,-572
1701,-384
1702,-1127
1703,-1260
1704,372
1705,1641
1706,1513
1707,-1617
1708,-1361
1709,1086
1710,-1428
1711,-1693
1712,-538
1713,1212
1714,-1041
1715,1552
1716,95
1717,1176
1718,1487
1719,-1472
1720,-1697
1721,-882
1722,-1222
1723,-140
1724,-1690
1725,307
1726,-1323
1727,653
1728,-750
1729,-1290
1730,-1610
1731,-1726
1732,1652
1733,-793
1734,-1678
1735,-655
1736,-1735
1737,-1292
1738,1252
1739,1734
1740,-272
1741,-1686
1742,-1499
1743,772
1744,-1286
1745,1545
1746,-1072
1747,1146
1748,1099
1749,-922
1750,1747
1751,478
1752,809
1753,-1751
1754,1588
1755,-1750
1756,230
1757,-1084
1758,261
1759,-434
1760,-778
1761,1583
1762,-622
1763,66
1764,-49
1765,1685
1766,1581
1767,-1243
1768,1553
1769,1539
1770,-654
1771,-921
1772,868
1773,1413
1774,-1162
1775,677
1776,-1775
1777,-2
1778,-1618
1779,139
1780,1242
1781,-1564
1782,878
1783,-1778
1784,255
1785,-906
1786,-1676
1787,1786
1788,1788
1789,-754
1790,-28
1791,-488
1792,1556
1793,-1419
1794,1512
1795,-1401
1796,273
1797,560
1798,1288
1799,-92
1800,1402
1801,1355
1802,-1491
1803,-1715
1804,553
1805,147
1806,1098
1807,-1806
1808,-733
1809,1530
1810,-83
1811,-1752
1812,1535
1813,1713
1814,-1343
1815,1815
1816,-1350
1817,1409
1818,1818
1819,1512
1820,-1420
1821,3
1822,255
1823,-925
1824,-1787
1825,-981
1826,-1336
1827,1338
1828,-569
1829,662
1830,1404
1831,524
1832,1101
1833,1819
1834,-35
1835,783
1836,-1244
1837,133
1838,1599
1839,127
1840,1791
1841,534
1842,-127
1843,-1791
1844,-528
1845,-385
1846,-1824
1847,-1762
1848,-779
1849,216
1850,1286
1851,-1641
1852,-1639
1853,1467
1854,226
1855,-355
1856,-3
1857,-265
1858,-1659
1859,-437
1860,580
1861,1730
1862,1583
1863,-658
1864,1839
1865,-1717
1866,-1853
1867,963
1868,1858
1869,-1810
1870,-798
1871,-63
1872,-310
1873,-1595
1874,1504
1875,1373
1876,-235
1877,-1092
1878,1797
1879,21
1880,1572
1881,1757
1882,-1415
1883,-1804
1884,-1248
1885,1334
1886,1741
1887,1002
1888,313
1889,-1730
1890,-1609
1891,-911
1892,121
1893,1891
1894,-444
1895,1629
1896,1890
1897,-1792
1898,-1823
1899,-1457
1900,1225
1901,-413
1902,1889
1903,-1495
1904,742
1905,1054
1906,-1905
1907,-1772
1908,-266
1909,-1643
1910,-104
1911,612
1912,1094
1913,1273
1914,-1168
1915,1196
1916,1554
1917,1697
1918,989
1919,1084
1920,-291
1921,-1768
1922,-1264
1923,-1694
1924,1210
1925,-903
1926,1884
1927,-1571
1928,-386
1929,-782
1930,-492
1931,-1821
1932,1744
1933,-784
1934,1906
1935,1569
1936,-1887
1937,-1725
1938,506
1939,-395
1940,1448
1941,523
1942,1937
1943,1901
1944,-644
1945,-54
1946,1085
1947,-1778
1948,278
1949,1949
1950,1828
1951,-769
1952,-1245
1953,-1562
1954,1147
1955,-615
1956,1339
1957,1236
1958,-1912
1959,-1847
1960,501
1961,-1954
1962,142
1963,-1156
1964,212
1965,-1961
1966,-1181
1967,469
1968,-1546
1969,-647
1970,333
1971,-14
1972,-1953
1973,1733
1974,-1807
1975,1087
1976,21
1977,1653
1978,990
1979,-770
1980,601
1981,-1619
1982,1747
1983,541
1984,1197
1985,-108
1986,-1839
1987,1827
1988,-1960
1989,693
1990,1913
1991,451
1992,-1958
1993,1411
1994,-824
1995,-1564
1996,983
1997,623
1998,1644
1999,-1624
2000,-407
2001,1975
2002,1747
2003,546
2004,-1189
2005,-1996
2006,1776
2007,-1690
2008,357
2009,-1825
2010,-530
2011,-1612
2012,712
2013,1830
2014,2014
2015,-480
2016,-1244
2017,146
2018,2012
2019,1984
2020,-2012
2021,-1983
2022,1230
2023,-2018
2024,-1800
2025,-270
2026,360
2027,1943
2028,2023
2029,-371
2030,-581
2031,-395
2032,1517
2033,769
2034,1293
2035,-1978
2036,1902
2037,-1982
2038,-692
2039,-1529
2040,-1667
2041,-1892
2042,-1406
2043,2025
2044,1983
2045,-1248
2046,1448
2047,552
2048,-1627
2049,696
2050,-2030
2051,-1036
2052,1364
2053,1074
2054,-843
2055,-1784
2056,850
2057,2016
2058,-1613
2059,2015
2060,-1948
2061,-431
2062,1165
2063,1042
2064,-1744
2065,832
2066,1028
2067,-1332
2068,77
2069,2068
2070,1533
2071,-197
2072,-1650
2073,1275
2074,-967
2075,1193
2076,-1494
2077,2047
2078,-2011
2079,-769
2080,-1326
2081,-507
2082,1943
2083,2078
2084,-2056
2085,-2053
2086,2085
2087,-1773
2088,-1897
2089,1045
2090,1907
2091,-114
2092,-1640
2093,-182
2094,445
2095,-1871
2096,2063
2097,1793
2098,1574
2099,-133
2100,-1823
2101,-1612
2102,744
2103,1110
2104,-1792
2105,-2022
2106,1953
2107,-1847
2108,538
2109,-1496
2110,-1192
2111,2053
2112,-2111
2113,320
2114,-902
2115,748
2116,631
2117,938
2118,2060
2119,-1637
2120,481
2121,-702
2122,2099
2123,861
2124,433
2125,-1089
2126,-1926
2127,428
2128,1443
2129,-1803
2130,580
2131,1981
2132,2078
2133,-2105
2134,-279
2135,-1211
2136,2129
2137,-1796
2138,1791
2139,620
2140,-1914
2141,1489
2142,-242
2143,206
2144,-2088
2145,-1967
2146,-759
2147,2049
2148,1356
2149,-1975
2150,-1878
2151,1343
2152,-2151
2153,-1802
2154,2061
2155,251
2156,-690
2157,1971
2158,-2028
2159,2149
2160,328
2161,2068
2162,1601
2163,-2024
2164,-1571
2165,-434
2166,-959
2167,1574
2168,-137
2169,2046
2170,-1593
2171,455
2172,1098
2173,-2172
2174,1992
2175,500
2176,-1020
2177,-1853
2178,1122
2179,-953
2180,1939
2181,-1300
2182,1270
2183,1563
2184,-2180
2185,576
2186,-1938
2187,-778
2188,1966
2189,-1299
2190,2188
2191,2176
2192,1976
2193,133
2194,1909
2195,-1942
2196,-1041
2197,1989
2198,-801
2199,-236
2200,815
2201,-2136
2202,618
2203,1716
2204,1407
2205,-923
2206,1300
2207,-1278
2208,-1300
2209,1285
2210,-198
2211,173
2212,-469
2213,1736
2214,2133
2215,310
2216,1884
2217,-1808
2218,2218
2219,83
2220,2151
2221,1857
2222,-699
2223,-2222
2224,1732
2225,-1852
2226,2226
2227,2190
2228,-682
2229,601
2230,-1823
2231,-1712
2232,-376
2233,1870
2234,-1528
2235,-2070
2236,-684
2237,1708
2238,-1912
2239,-2111
2240,339
2241,-642
2242,-2011
2243,-830
2244,-1300
2245,1306
2246,-1760
2247,-1459
2248,-2165
2249,961
2250,-720
2251,1223
2252,-1794
2253,335
2254,2057
2255,1524
2256,-728
2257,1697
2258,1164
2259,2258
2260,1628
2261,1380
2262,-1687
2263,-82
2264,-706
2265,-1716
2266,-1440
2267,-2068
2268,-1674
2269,-1028
2270,1459
2271,2190
2272,-695
2273,1476
2274,-1183
2275,-2234
2276,730
2277,2081
2278,2174
2279,44
2280,44
2281,44
2282,44
2283,44
2284,44
2285,44
2286,44
2287,44
2288,44
2289,44
2290,44
2291,44
2292,44
2293,44
2294,44
2295,44
2296,44
2297,44
2298,44
2299,44
2300,44
2301,44
2302,44
2303,44
2304,44
2305,44
2306,44
2307,44
2308,44
2309,45
2310,1968
2311,2262
2312,127
2313,2251
2314,2312
2315,-484
2316,-445
2317,2073
2318,-1007
2319,-2302
2320,-1646
2321,452
2322,-878
2323,2317
2324,-2317
2325,2319
2326,1128
2327,-392
2328,-1500
2329,2315
2330,805
2331,1596
2332,169
2333,-1401
2334,353
2335,2125
2336,2242
2337,-2078
2338,2307
2339,2055
2340,911
2341,-141
2342,-853
2343,2340
2344,1094
2345,1559
2346,1636
2347,1632
2348,-2344
2349,-850
2350,-2304
2351,2201
2352,2236
2353,-1708
2354,2016
2355,-1846
2356,2242
2357,-2096
2358,1246
2359,2208
2360,1210
2361,-1107
2362,-2163
2363,-2362
2364,1090
2365,310
2366,2012
2367,2325
2368,524
2369,1424
2370,-1795
2371,2164
2372,1252
2373,2367
2374,-2331
2375,150
2376,-1696
2377,1059
2378,-667
2379,-1977
2380,1918
2381,2377
2382,2207
2383,2382
2384,1489
2385,-270
2386,424
2387,271
2388,1754
2389,2001
2390,459
2391,773
2392,404
2393,2282
2394,2236
2395,-1739
2396,2377
2397,2221
2398,251
2399,-768
2400,-2382
2401,-1493
2402,1624
2403,483
2404,-1731
2405,-45
